TF,Target
E2F1,HMGA1
E2F1,HOXB9
E2F1,HSPA5
E2F1,HSPD1
E2F1,IER3
E2F1,IFT80
E2F1,IL12RB1
E2F1,IL1B
E2F1,IQCK
E2F1,IRF3
E2F1,IRF4
E2F1,ISYNA1
E2F1,ITGAL
E2F1,JPH2
E2F1,JUN
E2F1,KCNG4
E2F1,KCNJ16
E2F1,KCNJ2
E2F1,KCNK10
E2F1,KDM4C
E2F1,KDR
E2F1,KIF23
E2F1,KIF24
E2F1,KIF2C
E2F1,KIR3DL1
E2F1,KLF10
E2F1,KRT75
E2F1,LINGO1
E2F1,LMO1
E2F1,LYPLAL1
E2F1,MAP1LC3A
E2F1,MAP1LC3B
E2F1,MAP2K6
E2F1,MAP3K14
E2F1,MAP3K5
E2F1,MAPK1
E2F1,MAPK8
E2F1,MCM10
E2F1,MCM5
E2F1,MCM6
E2F1,MCM7
E2F1,MCM8
E2F1,MCM9
E2F1,MCMDC2
E2F1,MCPH1
E2F1,MDM2
E2F1,MEFV
E2F1,MEIS1
E2F1,MEMO1
E2F1,MIPEP
E2F1,MIR202
E2F1,MPPED2
E2F1,MPST
E2F1,MRAS
E2F1,MT1G
E2F1,MT1X
E2F1,MUC4
E2F1,MXI1
E2F1,MYB
E2F1,MYBL2
E2F1,MYC
E2F1,MYCN
E2F1,MYH10
E2F1,NCOA3
E2F1,NDC1
E2F1,NDUFAB1
E2F1,NDUFAF6
E2F1,NEK4
E2F1,NELL2
E2F1,NLRP5
E2F1,NOL9
E2F1,NPAT
E2F1,NTNG2
E2F1,OCA2
E2F1,OSR1
E2F1,PALD1
E2F1,PAX2
E2F1,PCBD2
E2F1,PCNA
E2F1,PCSK6
E2F1,PDK4
E2F1,PDPN
E2F1,PDXK
E2F1,PEG3
E2F1,PHLDB1
E2F1,PIGU
E2F1,PIK3R5
E2F1,PLAUR
E2F1,PLEKHB1
E2F1,PLEKHF2
E2F1,PLK1
E2F1,PLK4
E2F1,PNRC2
E2F1,POLA1
E2F1,POLA2
E2F1,POLD1
E2F1,POLE2
E2F1,POLR3A
E2F1,POU2AF1
E2F1,PPARG
E2F1,PPP1R13B
E2F1,PPP2R2D
E2F1,PRDM1
E2F1,PRIM2
E2F1,PRKDC
E2F1,PTPRO
E2F1,RAB40C
E2F1,RACGAP1
E2F1,RAD18
E2F1,RAD51
E2F1,RALGDS
E2F1,RASGEF1B
E2F1,RASGRP1
E2F1,RASSF8
E2F1,RB1
E2F1,RBM38
E2F1,RELA
E2F1,RFC2
E2F1,RNF128
E2F1,RRM1
E2F1,RRM2
E2F1,RRP1B
E2F1,RTN4
E2F1,RXRG
E2F1,SAFB
E2F1,SCARF1
E2F1,SCN8A
E2F1,SEPHS1
E2F1,SERPINE1
E2F1,SEZ6L2
E2F1,SIAH1
E2F1,SKP2
E2F1,SLC14A2
E2F1,SLC35F3
E2F1,SLC35G1
E2F1,SLC6A19
E2F1,SLX4
E2F1,SMARCA5
